"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
1,2015-02-23 17:16:26,"E","E","E00305604","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra",NA,NA,NA,NA,NA,NA,"Hind, D.J.N.; Queiroz, R.F.","50926",NA,1992,"01","21",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecified type",NA,"BGBASE:313942",NA,NA,"<a href=\"http://data.rbge.org.uk/herb/E00305604\" target=\"_blank\">more info</a>","E00305604",NA
2,2015-06-19 18:19:16,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","15001","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","(Fisch.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"América do Sul","Brasil","Ceará","Guramiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2015-06-19 18:19:16,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","15009","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","(Fisch.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"América do Sul","Brasil","Ceará","Mulungu",NA,-38.9963989257812,-4.30556011199951,10506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
4,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","19436","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.","L. Sylvestre",2000,"02","01",NA,"P.G. Windisch","7693",NA,1994,"12","27",NA,NA,"América do Sul","Brasil","Mato Grosso","Cuiabá","complexo da chapada dos guimarães",-56.0966987609863,-15.5960998535156,74875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: formação ciliar junto a regato, mata úmida;",NA,"auto"
5,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","25711","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.","L.S. Sylvestre",2000,"02","01",NA,"F.R. Nonato","352",NA,1997,"07","12",NA,NA,"América do Sul","Brasil","Minas Gerais","Marmelópolis","morro do careca",-45.1652984619141,-22.4491996765137,8983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: mata de encosta passando a matinha nebular;",NA,"auto"
6,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","26340","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.","Athayde, F.P.F.",2001,"06","10",NA,"Athayde, F.P.F.","952",NA,2002,"06","05",NA,NA,"América do Sul","Brasil","RS","Capão da Canoa","Fazenda Pontal",-50.0097007751465,-29.7455997467041,15808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: terrestre, área sombreada;",NA,"auto"
7,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","22148","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.","Fernandes, I.",1986,"02","24",NA,"Fernandes, I.","53",NA,1986,"02","24",NA,NA,"América do Sul","Brasil","RS","Sapucaia do Sul","arredores",-51.1483001708984,-29.8246994018555,7291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: sobre rocha com serapilheira, morro sapucaia;",NA,"auto"
8,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","06288","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.",NA,NA,NA,NA,NA,"P.G. Windisch","2980",NA,1980,"11","20",NA,NA,"América do Sul","Brasil","São Paulo","Campos do Jordão","divisa com Pindamonhangaba",-45.5900001525879,-22.7299995422363,21048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: campo de altitude com capões de mata nebular, terrestre;",NA,"auto"
9,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","06368","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.",NA,NA,NA,NA,NA,"P.G. Windisch","2921",NA,1980,"11","20",NA,NA,"América do Sul","Brasil","São Paulo","Campos do Jordão","divisa com Pindamonhangaba",-45.5900001525879,-22.7299995422363,21048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: campo de altitude com capões de mata nebular, epífita na matinha nebular;",NA,"auto"
10,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","25735","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.","L.S. Sylvestre",2000,"02","01",NA,"F.R. Nonato","381",NA,1997,"07","13",NA,NA,"América do Sul","Brasil","São Paulo","Cunha","pedra da marcela",-44.9599990844727,-23.0699996948242,38855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: mata de encosta úmida, terrestre;",NA,"auto"
