"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
1,2018-11-06 17:37:37,"PUCPR","HUCP","12595","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Bettega, GT",NA,NA,NA,NA,"Strozzi, JA","012",NA,1986,"10","15",NA,NA,NA,"Brasil","Paraná","Araucária","Tomás Coelho",-49.4103012084961,-25.5930995941162,21346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUCP00004724","auto"
2,2019-04-04 13:17:05,"PUCPR","HUCP","23165","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Kersten, RA",NA,NA,NA,NA,"Baccaro, M","139",NA,2010,"10","01",NA,NA,NA,"Brasil","Paraná","Balsa Nova",NA,-49.6356010437012,-25.5839004516602,27346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
3,2019-04-04 13:17:05,"PUCPR","HUCP","17547","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Kersten, RA",2006,"08","09",NA,"Kersten, RA","843",NA,2004,"04","01",NA,NA,NA,"Brasil","Paraná","Colombo","Estância Betania",-49.2242012023926,-25.2917003631592,13536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
4,2018-11-06 17:37:37,"PUCPR","HUCP","7086","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Jaszczerski, JC; Silva, P",NA,NA,NA,NA,"Fischer, ML","071",NA,1991,"11","22",NA,NA,NA,"Brasil","Paraná","Colombo","SMCC",-49.2242012023926,-25.2917003631592,13536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
5,2018-11-06 17:37:37,"PUCPR","HUCP","4763","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Jaszczerski, JC",1986,"10","25",NA,"Lima, OG","004",NA,NA,NA,NA,NA,NA,NA,"Brasil","Paraná","Contenda",NA,-49.5346984863281,-25.6756000518799,22732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUCP00004753","auto"
6,2018-11-06 17:37:37,"PUCPR","HUCP","4762","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Jaszczerski, JC",1982,"09","16",NA,"Mersan, LG","007",NA,NA,NA,NA,NA,NA,NA,"Brasil","Paraná","Curitiba",NA,-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
7,2018-11-06 17:37:37,"PUCPR","HUCP","5476","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Acra, LA",NA,NA,NA,NA,"Burjas, JPC","019",NA,1988,"11","23",NA,NA,NA,"Brasil","Paraná","Curitiba","Abranches",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
8,2018-11-06 17:37:37,"PUCPR","HUCP","12599","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Bettega, GT",NA,NA,NA,NA,"Firmo, NM","004",NA,1993,"04","23",NA,NA,NA,"Brasil","Paraná","Curitiba","Bacacheri",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
9,2018-11-06 17:37:37,"PUCPR","HUCP","16460","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Jaszczerski, JC",NA,NA,NA,NA,"Marconato, GR","001",NA,2003,"11","05",NA,NA,NA,"Brasil","Paraná","Curitiba","Bairro Alto",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
10,2018-11-06 17:37:37,"PUCPR","HUCP","15573","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Nogaroli, RL",NA,NA,NA,NA,"Dolniak, DO","011",NA,2003,"09","20",NA,NA,NA,"Brasil","Paraná","Curitiba","Bosque do Alemão",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
11,2018-11-06 17:37:37,"PUCPR","HUCP","15387","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Oliveira, EHA",NA,NA,NA,NA,"Feiten, A","s.n.",NA,2003,"09","20",NA,NA,NA,"Brasil","Paraná","Curitiba","Bosque do Alemão",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
12,2019-04-04 13:17:05,"PUCPR","HUCP","15999","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Selusniaki, M",NA,NA,NA,NA,"Selusniaki, M","115",NA,2004,"10","07",NA,NA,NA,"Brasil","Paraná","Curitiba","Bosque Papa João Paulo 2°",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
13,2019-09-10 00:04:02,"PUCPR","HUCP","133","S","Plantae","Monocotiledonea",NA,NA,"Bromeliaceae","Tillandsia","stricta",NA,"Tillandsia stricta","Sol. ex Sims.","Jaszczerski, JC",1985,"11",NA,NA,"Jaszczerski, JC","051",NA,1984,"12","15",NA,NA,NA,"Brasil","Paraná","Curitiba","Campo Comprido",-49.2731018066406,-25.4277992248535,25180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUCP0004557","auto"
